Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
MasterLink Adjustable HDMI Cable 2M MSL-HD02-360,MasterLink,Mobile Accessories,AVAILABLE,165.0,0.0,-,0
Sharp 32-Inch Full HD TV 2TC32BD1X,Sharp,TV,AVAILABLE,779.0,0.0,-,0
Belkin 1 Meters High Speed HDMI® Cable with Ethernet F3Y020BT1M,Belkin,Accessories,OUT OF STOCK,46.0,0.0,-,0
MasterLink HDMI Cable 2M MSL-HD02SM,MasterLink,Mobile Accessories,AVAILABLE,165.0,0.0,-,0
Haier 32-Inch Full HD LED TV LE32B9600T,Haier,TV,OUT OF STOCK,699.0,0.0,-,0
Sony In-Ear Headphones with Mic (Black) - SNY-MDREX255APBQE,Sony,Audio,OUT OF STOCK,144.0,0.0,-,0
Panasonic SC-UA7 Urban Audio Wireless Speaker,Panasonic,Audio,OUT OF STOCK,1634.0,0.0,-,0
Sony In-Ear Headphones (Red) - SNY-MDREX155/RQE,Sony,Audio,OUT OF STOCK,67.0,0.0,-,0
Sony Sports In-Ear Headphones (White) - SNY-MDRAS410APWQE,Sony,Audio,OUT OF STOCK,108.0,0.0,-,0
Sony Wireless In-Ear Headphones (Red) SNY-WIC400/RZE,Sony,Audio,OUT OF STOCK,237.0,0.0,-,0
Samsung 65 Inch Q80T QLED 4K UHD HDR Smart TV SAM-QA65Q80TA,Samsung,TV,AVAILABLE,9899.0,0.0,-,0
LG UN73 Series 55” 4K Active HDR Smart UHD TV with AI ThinQ® ( 2020 ),LG,TV,AVAILABLE,2799.0,5.0,"['Good#SenhengKOC,#31Anniversary', 'Good service #grandsenhengtemerloh#31Anniversary,#SenhengKOC', 'Good service at senQ Paradigm Mall fast service.#31Anniversary,#SenhengKOC', '#SenhengKOC#31Anniversary#Moments2celebrate#senhengkelanjaya FAST RESPON AND GOOD SERVICE#31Anniversary,#SenhengKOC', 'Happy shopping at senQGurneyPlaza #31Anniversary,#SenhengKOC', 'Happy shopping!!! #senQBDO #SenhengKOC #31Annivesary#31Anniversary,#SenhengKOC', 'Puas hati dengan servis dengan harapan barang dapat awal #senhengKOC #31Anniversary #happyatsenheng #senhengbukitmertajam#31Anniversary,#SenhengKOC', '#senhengtanahmerah#senhengKOC#31stAnniversary#31Anniversary,#SenhengKOC', 'Murah dan berkualiti #SenhengKOC #31anniversary #Grandsenhengtamanmutiara#31Anniversary,#SenhengKOC', 'Banyak barang yg boleh di pilih#31Anniversary,#SenhengKOC']",10
Powerbeats3 Wireless Earphones Siren Red BTS-MNLY2ZP/A,Powerbeats3,Audio,AVAILABLE,769.0,0.0,-,0
Sony HTRT40 Real 5.1ch Dolby Digital Tall boy Soundbar Home Theatre System,Sony,Audio,OUT OF STOCK,1055.0,0.0,-,0
Sony Earphone (Blue) SNY-MDRE9LP/L,Sony,Audio,OUT OF STOCK,26.0,0.0,-,0
Belkin Home Series 4-Socket Surge Protector F9H402SA2M-MY,Belkin,Accessories,AVAILABLE,140.0,0.0,-,0
Samsung 65 Inches Q60T QLED 4K UHD HDR Smart TV 2020 SAM-QA65Q60TA,Samsung,TV,AVAILABLE,6299.0,5.0,"['Helpful staff #31Anniversary,#SenhengKOC']",1
